1987, 100, "Dear America: Letters Home From Vietnam"
1976,  99, "Taxi Driver"
1985,  98, "Brazil"
1973,  98, "Mean Streets"
1980,  97, "Raging Bull"
1974,  97, "The Godfather, Part II"
1993,  96, "A Bronx Tale"
1990,  96, "Goodfellas"
1988,  96, "Midnight Run"
1978,  93, "The Deer Hunter"
2012,  92, "Silver Linings Playbook"
1983,  90, "The King of Comedy"
1984,  89, "Once Upon a Time in America"
1990,  88, "Awakenings"
1973,  88, "Bang the Drum Slowly"
1997,  87, "Jackie Brown"
1992,  87, "Thunderheart"
1995,  86, "Heat"
1968,  86, "Greetings"
1997,  85, "Wag the Dog"
2000,  84, "Meet the Parents"
1996,  80, "Marvin's Room"
1995,  80, "Casino"
1987,  80, "The Untouchables"
1993,  78, "Mad Dog and Glory"
1987,  78, "Angel Heart"
2007,  76, "Captain Shakespeare"
1991,  76, "Cape Fear"
1993,  75, "This Boy's Life"
1981,  75, "True Confessions"
1996,  74, "Sleepers"
2001,  73, "The Score"
1970,  73, "Hi, Mom!"
2010,  72, "Machete"
1997,  72, "Cop Land"
1991,  71, "Backdraft"
2011,  70, "Limitless"
1999,  69, "Analyze This"
1991,  69, "Mistress"
1998,  68, "Ronin"
1992,  67, "Night and the City"
1977,  67, "New York, New York"
1991,  65, "Guilty by Suspicion"
1986,  65, "The Mission"
1989,  64, "Jacknife"
2015,  61, "The Intern"
2015,  60, "Joy"
1984,  60, "Falling in Love"
2006,  54, "The Good Shepherd"
2012,  51, "Being Flynn"
2008,  51, "What Just Happened?"
2010,  50, "Stone"
2002,  48, "City by the Sea"
1989,  47, "We're No Angels"
1977,  47, "1900"
2013,  46, "Last Vegas"
2009,  46, "Everybody's Fine"
2005,  46, "Rent"
2000,  43, "The Adventures of Rocky & Bullwinkle"
1999,  43, "Flawless"
2000,  41, "Men of Honor"
1976,  41, "The Last Tycoon"
1971,  40, "Born to Win"
1994,  39, "Mary Shelley's Frankenstein"
2004,  38, "Meet the Fockers"
1998,  38, "Great Expectations"
1996,  38, "The Fan"
2004,  35, "Shark Tale"
2001,  33, "15 Minutes"
2013,  29, "Grudge Match"
2012,  29, "Red Lights"
1990,  29, "Stanley & Iris"
2002,  27, "Analyze That"
2015,  26, "Heist"
2011,  25, "Killer Elite"
2007,  21, "Arthur and the Invisibles"
2008,  19, "Righteous Kill"
1970,  17, "Bloody Mama"
2005,  13, "Hide and Seek"
2016,  11, "Dirty Grandpa"
2013,  11, "Killing Season"
2010,  10, "Little Fockers"
2014,   9, "The Bag Man"
2013,   7, "The Big Wedding"
2011,   7, "New Year's Eve"
2005,   4, "The Bridge of San Luis Rey"
2003,   4, "Godsend"
